Client,expected_revenue_cc,expected_revenue_cl,expected_revenue_mf,product_to_offer,expected_revenue,expected_revenue_reverseLog
541,13.597551612491237,6.185144719754901,0.0,cc,13.597551612491237,804157.4553338621
485,0.0,9.646023877611619,0.0,cl,9.646023877611619,15459.194108787939
878,0.0,9.454730653337888,3.2548989302079616,cl,9.454730653337888,12767.425611115019
490,0.0,9.18966484711371,0.0,cl,9.18966484711371,9794.36748331334
498,0.0,8.976493429747038,0.0,cl,8.976493429747038,7913.829492410279
785,0.0,8.824001524071402,0.0,cl,8.824001524071402,6794.402258824683
352,3.1727892644420868,8.69907221241682,0.0,cl,8.69907221241682,5996.345372666893
431,0.0,8.008698131124163,0.0,cl,8.008698131124163,3005.9998440438553
1569,0.0,7.995419822316043,4.373039842028668,cl,7.995419822316043,2966.3358894201533
61,0.0,7.962268803329997,0.0,cl,7.962268803329997,2869.5783476990737
1210,0.0,7.951133399778781,0.0,cl,7.951133399778781,2837.790612467156
1493,0.0,7.913252036804581,0.0,cl,7.913252036804581,2732.264706263819
545,5.027174702074042,7.9000549366073445,0.0,cl,7.9000549366073445,2696.4305118789894
231,0.0,7.720643158877278,0.0,cl,7.720643158877278,2253.409057595161
1597,0.0,7.625854948963951,0.0,cl,7.625854948963951,2049.5328167349335
1082,0.0,7.597698242916052,0.0,cl,7.597698242916052,1992.6018227950026
1341,0.0,7.534739800768058,0.0,cl,7.534739800768058,1870.9572135525061
217,1.7017629001434114,7.490339398094021,0.0,cl,7.490339398094021,1789.6597352225099
852,0.0,7.440198489851308,0.0,cl,7.440198489851308,1702.0882333338477
1241,2.382491027570437,7.410800638468094,0.0,cl,7.410800638468094,1652.7498727256323
886,3.167392023211567,7.255856457225167,0.0,cl,7.255856457225167,1415.3755488800296
394,0.0,7.254099150469353,0.0,cl,7.254099150469353,1412.8887282525254
1063,0.0,7.095728115420939,0.0,cl,7.095728115420939,1205.8007338987875
342,0.0,7.059779544620642,0.0,cl,7.059779544620642,1163.188485866315
338,0.0,7.038480439060092,0.0,cl,7.038480439060092,1138.65451570676
41,0.0,7.033026155570067,0.0,cl,7.033026155570067,1132.4554380290533
1365,6.867559501068377,0.0,0.0,cc,6.867559501068377,959.6013562122068
1119,0.0,6.857001346887129,2.208714186352888,cl,6.857001346887129,949.5125323858117
311,0.0,6.814393334381788,0.0,cl,6.814393334381788,909.8637584065832
731,0.0,6.795954400857285,0.0,cl,6.795954400857285,893.222298994766
1465,0.0,6.753380773245864,0.0,cl,6.753380773245864,855.9510278326871
967,0.0,6.731611860418805,0.0,cl,6.731611860418805,837.4977185750249
1410,6.678568789631066,0.0,0.0,cc,6.678568789631066,794.1802270322108
1395,0.0,6.562242658848963,0.0,cl,6.562242658848963,706.8573984928508
382,6.377990837450717,0.0,0.0,cc,6.377990837450717,587.7436368950888
1358,0.0,6.3655707783201505,0.0,cl,6.3655707783201505,580.476627868881
674,0.0,6.283562497489032,0.0,cl,6.283562497489032,534.6936758856837
1123,0.0,6.262963385072229,0.0,cl,6.262963385072229,523.7717389387174
828,3.8898646493245455,6.259312866302342,0.0,cl,6.259312866302342,521.8595422343355
94,0.0,6.247437992866682,0.0,cl,6.247437992866682,515.687370752595
460,0.0,6.199779804764739,0.0,cl,6.199779804764739,491.64055204705187
562,0.0,6.152091401525689,0.0,cl,6.152091401525689,468.6986888308697
665,0.0,6.098916066671432,0.0,cl,6.098916066671432,444.3747518128159
350,0.0,6.079508785933252,0.0,cl,6.079508785933252,435.8145725473966
155,0.0,5.980888527763597,0.0,cl,5.980888527763597,394.7918840439637
1530,0.0,5.966818503971581,0.0,cl,5.966818503971581,389.2620763076465
389,1.8313164237753303,0.0,5.957710188500656,mf,5.957710188500656,385.72358550869063
1474,0.0,5.916700751291587,0.0,cl,5.916700751291587,370.18505964155963
330,0.0,5.841771405069381,0.0,cl,5.841771405069381,343.38885281884745
706,2.2303801619157055,5.820002052951177,0.0,cl,5.820002052951177,335.9727454179556
1096,0.0,5.795046993537752,0.0,cl,5.795046993537752,327.6676288736688
524,0.0,5.786853440146959,0.0,cl,5.786853440146959,324.9856754770826
710,3.1100655178618046,5.7686697770100395,0.0,cl,5.7686697770100395,319.1116294552025
368,0.0,5.685297799804408,0.0,cl,5.685297799804408,293.5055356839359
1491,0.0,5.657281202973918,0.0,cl,5.657281202973918,285.3690040003707
1599,0.0,5.577039109760779,0.0,cl,5.577039109760779,263.28791863431945
749,0.0,5.512002380566039,0.0,cl,5.512002380566039,246.64651349189077
1343,0.0,5.505028277180746,0.0,cl,5.505028277180746,244.92540965776098
531,0.0,5.422531363023736,0.0,cl,5.422531363023736,225.4516288655798
936,0.0,5.402223402289867,0.0,cl,5.402223402289867,220.89923940606124
528,0.0,5.380131643193246,0.0,cl,5.380131643193246,216.05084681086285
261,0.0,5.379732547558529,0.0,cl,5.379732547558529,215.96424004872893
566,0.0,5.32459260664512,0.0,cl,5.32459260664512,204.324695507124
168,0.0,5.248060113520854,0.0,cl,5.248060113520854,189.196949864956
733,0.0,5.1737995350134955,0.0,cl,5.1737995350134955,175.58450347253066
1443,3.494082734178972,5.1484687144106,0.0,cl,5.1484687144106,171.1676505191685
333,0.0,5.137150092681248,0.0,cl,5.137150092681248,169.22993681995897
1107,0.0,5.1131520890341235,0.0,cl,5.1131520890341235,165.19338647063157
57,0.0,5.081073750690486,0.0,cl,5.081073750690486,159.94677989681784
668,5.067520621915059,0.0,2.333882865415784,cc,5.067520621915059,157.7801628477241
1332,0.0,5.062413572934871,0.0,cl,5.062413572934871,156.97133190658502
1455,0.0,5.051757618366981,0.0,cl,5.051757618366981,155.296933570932
571,0.0,5.049295487056824,0.0,cl,5.049295487056824,154.9125833516238
175,0.0,5.022260275486665,0.0,cl,5.022260275486665,150.75392211245028
1129,4.998094884978491,0.0,0.0,cc,4.998094884978491,147.1306841228803
1321,0.0,4.904338718107232,0.0,cl,4.904338718107232,133.87369098094226
759,0.0,4.713258489470303,0.0,cl,4.713258489470303,110.41461240252596
1551,0.0,4.667960740424227,0.0,cl,4.667960740424227,105.48037974428036
4,0.0,4.662120235851082,0.0,cl,4.662120235851082,104.86029317133844
756,0.0,4.643220430833639,2.2363559392834302,cl,4.643220430833639,102.87834250800431
1510,0.0,4.553763246259827,0.0,cl,4.553763246259827,93.98920430608393
1562,0.0,4.511985385636426,0.0,cl,4.511985385636426,90.10251269750543
119,0.0,4.50089348667945,0.0,cl,4.50089348667945,89.09759635013307
1586,0.0,4.478803332086725,0.0,cl,4.478803332086725,87.12914822547674
765,0.0,4.452960961149576,0.0,cl,4.452960961149576,84.88085778566078
1185,0.0,4.342384288175742,0.0,cl,4.342384288175742,75.89065042538378
1543,0.0,4.29981975890101,0.0,cl,4.29981975890101,72.68651116484932
1101,0.0,4.296419289900424,0.0,cl,4.296419289900424,72.4363680109299
373,2.358559572763566,4.257297136685123,0.0,cl,4.257297136685123,69.6188521649048
358,0.0,4.245177928927259,0.0,cl,4.245177928927259,68.76817281572963
1360,0.0,4.215888911929565,0.0,cl,4.215888911929565,66.75436677522346
1614,0.0,4.193631617079002,0.0,cl,4.193631617079002,65.26299635868
19,4.185542073910955,0.0,0.0,cc,4.185542073910955,64.7291213032728
727,4.172337952253351,0.0,0.0,cc,4.172337952253351,63.86693075040274
1380,0.0,4.169489338361165,0.0,cl,4.169489338361165,63.682412845231816
940,0.0,4.091526145862783,0.0,cl,4.091526145862783,58.83113309884176
340,4.043105955430854,0.0,0.0,cc,4.043105955430854,56.00311727822678
1226,0.0,4.0387626647993065,1.986703891903344,cl,4.0387626647993065,55.75607305377304
331,4.030313430049589,0.0,0.0,cc,4.030313430049589,55.278547871109545
1092,0.0,3.8959520717114446,0.0,cl,3.8959520717114446,48.20287573612857
803,0.0,3.8681283692531614,0.0,cl,3.8681283692531614,46.85273955571927
151,3.8638359795851254,0.0,0.0,cc,3.8638359795851254,46.647777154805006
313,0.0,3.8068951139751177,0.0,cl,3.8068951139751177,44.01046930687579
1280,3.755154930299929,0.0,0.0,cc,3.755154930299929,41.740841148954615
607,0.0,3.743557694341169,0.0,cl,3.743557694341169,41.248028683720555
516,3.7427763007656645,0.0,0.0,cc,3.7427763007656645,41.21502923998508
411,3.717461096830693,0.0,0.0,cc,3.717461096830693,40.15976069089267
197,3.6840941018413242,0.0,0.0,cc,3.6840941018413242,38.80904317134522
239,0.0,3.673370025024157,0.0,cl,3.673370025024157,38.38440890919102
329,0.0,3.660824663049744,0.0,cl,3.660824663049744,37.89340360269517
813,3.655336241133934,0.0,0.0,cc,3.655336241133934,37.68052491239081
697,0.0,0.0,3.6351481859427057,mf,3.6351481859427057,36.90746983510934
496,3.5724279540793784,2.7794821349231285,0.0,cc,3.5724279540793784,34.602930578097016
931,3.5668313896676054,0.0,0.0,cc,3.5668313896676054,34.404233014351554
146,0.0,3.5391782425589744,0.0,cl,3.5391782425589744,33.438607377857785
796,0.0,0.0,3.516509454230966,mf,3.516509454230966,32.66670794397178
1349,3.498205648543075,0.0,0.0,cc,3.498205648543075,32.056084478214814
978,3.4582658737312038,0.0,0.0,cc,3.4582658737312038,30.76184967216754
996,3.3927582598172856,0.0,0.0,cc,3.3927582598172856,28.747891627526347
109,3.329983824727593,0.0,3.191122551746616,cc,3.329983824727593,26.937889796603717
1229,0.0,0.0,3.3115675742528565,mf,3.3115675742528565,26.4280873536766
701,3.2924088611490268,0.0,0.0,cc,3.2924088611490268,25.907602329220936
104,3.1624820226414654,0.0,0.0,cc,3.1624820226414654,22.629171344519754
1278,3.151314479792049,0.0,0.0,cc,3.151314479792049,22.366759535789537
64,0.0,0.0,3.074259792653068,mf,3.074259792653068,20.633862439457832
1588,3.034045585172464,0.0,0.0,cc,3.034045585172464,19.781134608612984
1047,3.015046536899161,0.0,0.0,cc,3.015046536899161,19.390039807696795
1262,2.96479225930353,0.0,0.0,cc,2.96479225930353,18.390674590783973
1296,2.956240124966251,0.0,0.0,cc,2.956240124966251,18.225550026938574
866,0.0,0.0,2.9066691262908324,mf,2.9066691262908324,17.295756108084763
206,2.864971697302066,0.0,0.0,cc,2.864971697302066,16.548556526063418
1504,2.761107994531104,0.0,0.0,cc,2.761107994531104,14.817358789775732
401,2.739259322045563,0.0,0.0,cc,2.739259322045563,14.475518474959438
1553,0.0,0.0,2.7327177297068523,mf,2.7327177297068523,14.374614338556396
200,0.0,2.4277436035520523,2.693105059823661,mf,2.693105059823661,13.777489746003795
1222,2.57275009006709,0.0,0.0,cc,2.57275009006709,12.101806088656495
454,2.524904596019464,0.0,0.0,cc,2.524904596019464,11.489703639321954
587,2.4159480672327276,0.0,0.0,cc,2.4159480672327276,10.20038404261897
633,2.3697627127815166,0.0,0.0,cc,2.3697627127815166,9.694854230786646
145,2.3383269801399145,0.0,0.0,cc,2.3383269801399145,9.363883068208334
1480,0.0,0.0,2.3295806498967435,mf,2.3295806498967435,9.273632380785173
1419,2.285687389939488,0.0,0.0,cc,2.285687389939488,8.832442623750888
760,2.0945808750772312,0.0,0.0,cc,2.0945808750772312,7.12203610897447
1133,2.0674525013741403,0.0,0.0,cc,2.0674525013741403,6.904660335081564
889,2.0326050049194073,0.0,0.0,cc,2.0326050049194073,6.633946948437022
1076,1.9743508242527266,0.0,0.0,cc,1.9743508242527266,6.201942809332637
1393,0.0,0.0,1.8755824163643808,mf,1.8755824163643808,5.524618058269386
951,1.8752549151246922,0.0,0.0,cc,1.8752549151246922,5.522481587634294
1414,1.8319637522103291,0.0,0.0,cc,1.8319637522103291,5.246140495040713
1227,1.78609386031227,0.0,0.0,cc,1.78609386031227,4.9661024622746615
